lot_id,capacity,latitude,longitude,occupancy,vehicle_type,traffic_level,queue_length,is_special_day,timestamp,occupancy_rate,vehicle_weight,normalized_traffic,price_model1,demand,normalized_demand,price_model2,price_model3
BHMBCCMKT01,577,26.14453614,91.73617216,61,car,low,1,0,2016-10-04 07:59:00,0.10571923743500866,1.0,0.2,10.528596187175044,1.6657192374350087,-1.5754247125538605,6.8491505748922785,7.8491505748922785
BHMNCPHST01,1200,26.14001386,91.73099967,237,bike,low,2,0,2016-10-04 07:59:00,0.1975,0.6,0.2,10.9875,1.7775,-1.4933052464014736,7.0133895071970525,8.013389507197052
BHMMBMMBX01,687,20.0000347,78.00000286,264,car,low,2,0,2016-10-04 07:59:00,0.38427947598253276,1.0,0.2,11.921397379912664,2.444279475982533,-1.0034573212970255,7.993085357405949,7.993085357405949
BHMNCPNST01,485,26.14004753,91.73097233,249,car,low,2,0,2016-10-04 07:59:00,0.51340206185567,1.0,0.2,12.56701030927835,2.57340206185567,-0.9085977267048636,8.182804546590273,8.182804546590273
Shopping,1920,26.15050395,91.73353109,614,cycle,low,2,0,2016-10-04 07:59:00,0.31979166666666664,1.0,0.2,11.598958333333334,2.3797916666666667,-1.0508331340293535,7.8983337319412925,7.8983337319412925
BHMEURBRD01,470,26.14901995,91.7395035,117,car,low,2,0,2016-10-04 07:59:00,0.24893617021276596,1.0,0.2,11.24468085106383,2.3089361702127658,-1.1028869526761322,7.794226094647736,7.794226094647736
Broad Street,690,26.13795775,91.74099445,178,car,low,2,0,2016-10-04 07:59:00,0.2579710144927536,1.0,0.2,11.289855072463768,2.3179710144927537,-1.0962495262351455,7.807500947529709,7.807500947529709
Others-CCCPS8,1322,26.14754886,91.72799519,445,bike,average,3,0,2016-10-04 07:59:00,0.33661119515885024,0.6,0.5,11.68305597579425,2.2066111951588505,-1.1780597474635919,7.643880505072817,7.643880505072817
Others-CCCPS105a,2009,26.14747299,91.72804914,709,car,low,2,0,2016-10-04 07:59:00,0.35291189646590343,1.0,0.2,11.764559482329517,2.4129118964659035,-1.0265014375232007,7.946997124953599,7.946997124953599
Others-CCCPS119a,2803,26.14754061,91.72797041,195,car,low,1,0,2016-10-04 07:59:00,0.06956831965750981,1.0,0.2,10.347841598287548,1.6295683196575097,-1.6019828966338896,6.7960342067322195,7.7960342067322195
BHMBCCTHL01,387,26.14449459,91.73620513,120,car,low,2,0,2016-10-04 07:59:00,0.31007751937984496,1.0,0.2,11.550387596899224,2.370077519379845,-1.0579696087770154,7.884060782445969,7.884060782445969
Others-CCCPS135a,3883,26.14749943,91.72800489,1081,car,low,2,0,2016-10-04 07:59:00,0.27839299510687615,1.0,0.2,11.39196497553438,2.3383929951068763,-1.081246567699851,7.837506864600297,7.837506864600297
Others-CCCPS202,2937,26.14749053,91.72799688,547,bike,low,2,0,2016-10-04 07:59:00,0.18624446714334356,0.6,0.2,10.931222335716718,1.7662444671433437,-1.501574096320187,6.996851807359626,7.996851807359626
Others-CCCPS98,3103,26.14749998,91.72797778,588,car,average,2,0,2016-10-04 07:59:00,0.1894940380277151,1.0,0.5,10.947470190138576,2.039494038027715,-1.3008319616944108,7.398336076611178,8.398336076611178
Others-CCCPS8,1322,26.14754886,91.72799519,478,truck,low,2,0,2016-10-04 08:25:00,0.3615733736762481,1.5,0.2,11.80786686838124,3.0215733736762482,-0.5793497592818233,8.841300481436354,8.841300481436354
BHMNCPNST01,485,26.14004753,91.73097233,267,truck,low,2,0,2016-10-04 08:25:00,0.5505154639175258,1.5,0.2,12.75257731958763,3.2105154639175257,-0.44054391086663947,9.11891217826672,9.11891217826672
Others-CCCPS105a,2009,26.14747299,91.72804914,780,car,average,3,0,2016-10-04 08:25:00,0.38825286212045795,1.0,0.5,11.941264310602289,2.738252862120458,-0.7874904860500396,8.425019027899921,8.425019027899921
